2023-05-07 19:50:05,607 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683478205.6077366, 'user_massage': 'heeloo'} 
2023-05-07 19:50:05,610 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-07 19:50:05,610 INFO       client Сообщение отправленно серверу 
2023-05-07 19:50:05,611 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 32938), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:50:17,047 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683478217.047461, 'user_massage': 'hello'} 
2023-05-07 19:50:17,050 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-07 19:50:17,050 INFO       client Сообщение отправленно серверу 
2023-05-07 19:50:17,050 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 45130), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:50:26,095 DEBUG      log_decorator Функция send_quit_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 32938), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:50:26,095 INFO       client Работа клиента завершена 
2023-05-07 19:50:46,046 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683478246.046482, 'user_massage': 'hello'} 
2023-05-07 19:50:46,046 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-07 19:50:46,047 INFO       client Сообщение отправленно серверу 
2023-05-07 19:50:46,047 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 45130), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:51:23,701 DEBUG      log_decorator Функция send_quit_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 45130), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 19:51:23,701 INFO       client Работа клиента завершена 
2023-05-07 20:00:20,767 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:00:22,303 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:00:47,247 DEBUG      log_decorator Функция send_stop_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 32980), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 20:00:47,247 INFO       client Послан сигнал на отключение сервера 
2023-05-07 20:02:50,896 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:02:56,270 DEBUG      log_decorator Функция send_stop_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 51610), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 20:02:56,270 INFO       client Послан сигнал на отключение сервера 
2023-05-07 20:05:34,352 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:05:37,341 DEBUG      log_decorator Функция send_stop_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 38136), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 20:05:37,341 INFO       client Послан сигнал на отключение сервера 
2023-05-07 20:08:38,041 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:08:56,204 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:09:06,752 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:09:16,489 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:09:17,491 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:09:18,492 INFO       sender_client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:10:37,508 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-07 20:10:39,660 DEBUG      log_decorator Функция send_stop_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 44382), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-07 20:10:39,660 INFO       client Послан сигнал на отключение сервера 
2023-05-11 20:37:59,637 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 20:38:03,302 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 20:38:12,660 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683826692.6603577, 'user_massage': 'hello'} 
2023-05-11 20:38:12,676 DEBUG      log_decorator Функция create_massage вызванна с аргументами ((), {})из функции send_massage 
2023-05-11 20:38:12,677 INFO       client Сообщение отправленно серверу 
2023-05-11 20:38:12,677 DEBUG      log_decorator Функция send_massage вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59646), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-11 20:38:33,967 DEBUG      log_decorator Функция send_quit_signal вызванна с аргументами ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59646), raddr=('127.0.0.1', 7777)>,), {})из функции console 
2023-05-11 20:38:33,967 INFO       client Работа клиента завершена 
2023-05-11 20:38:51,444 INFO       client Клиент стартовал ('localhost', 7777) 
2023-05-11 20:39:01,937 INFO       client Сформированно сообщение серверу: {'action': 'massage', 'time': 1683826741.9372702, 'user_massage': 'hello'} 
